name	country_code	reg_code	reg_name	area_code	area_name	location_type	tree_level	SortOrder	agcode_1500000	agcode_1501000	agcode_1502000	agcode_1503000	agcode_1517000	agcode_1518000	agcode_1636000	agcode_1637000	agcode_1829000	agcode_1830000	agcode_1831000	agcode_1832000	agcode_1833000	agcode_1834000	agcode_1835000	agcode_1836000	agcode_901000	agcode_902000	agcode_934000	agcode_941000	agcode_948000
World	900	-1		-1		0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Sub-Saharan Africa	1834	-1		-1		1834000	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Northern Africa and Western Asia	1833	-1		-1		1833000	3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Central and Southern Asia	1831	-1		-1		1831000	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Eastern and South-Eastern Asia	1832	-1		-1		1832000	3	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Latin America and the Caribbean	1830	-1		-1		1830000	3	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Oceania (excluding Australia and New Zealand)	1835	-1		-1		1835000	3	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Australia/New Zealand	1836	-1		-1		1836000	3	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Europe and Northern America	1829	-1		-1		1829000	3	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
More developed regions	901	-1		-1		901000	3	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Less developed regions	902	-1		-1		902000	3	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Least developed countries	941	-1		-1		941000	4	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Less developed regions, excluding least developed countries	934	-1		-1		934000	4	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Less developed regions, excluding China	948	-1		-1		948000	3	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Land-locked Developing Countries (LLDC)	1636	-1		-1		1636000	3	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Small Island Developing States (SIDS)	1637	-1		-1		1637000	3	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
High-income countries	1503	-1		-1		1503000	3	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Middle-income countries	1517	-1		-1		1517000	3	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Upper-middle-income countries	1502	-1		-1		1502000	4	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Lower-middle-income countries	1501	-1		-1		1501000	4	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Low-income countries	1500	-1		-1		1500000	3	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
No income group available	1518	-1		-1		1518000	3	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Africa	903	-1		-1		2	3	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
