"country"	"country_code"	"1754"	"1755"	"1756"	"1757"	"1758"	"1759"	"1760"	"1761"	"1762"	"1763"	"1764"	"1765"	"1766"	"1767"	"1768"	"1769"	"1770"	"1771"	"1772"	"1773"	"1774"	"1775"	"1776"	"1777"	"1778"	"1779"	"1780"	"1781"	"1782"	"1783"	"1784"	"1785"	"1786"	"1787"	"1788"	"1789"	"1790"	"1791"	"1792"	"1793"	"1794"	"1795"	"1796"	"1797"	"1798"	"1799"	"1800"	"1801"	"1802"	"1803"	"1804"	"1805"	"1806"	"1807"	"1808"	"1809"	"1810"	"1811"	"1812"	"1813"	"1814"	"1815"	"1816"	"1817"	"1818"	"1819"	"1820"	"1821"	"1822"	"1823"	"1824"	"1825"	"1826"	"1827"	"1828"	"1829"	"1830"	"1831"	"1832"	"1833"	"1834"	"1835"	"1836"	"1837"	"1838"	"1839"	"1840"	"1841"	"1842"	"1843"	"1844"	"1845"	"1846"	"1847"	"1848"	"1849"	"1850"	"1851"	"1852"	"1853"	"1854"	"1855"	"1856"	"1857"	"1858"	"1859"	"1860"	"1861"	"1862"	"1863"	"1864"	"1865"	"1866"	"1867"	"1868"	"1869"	"1870"	"1871"	"1872"	"1873"	"1874"	"1875"	"1876"	"1877"	"1878"	"1879"	"1880"	"1881"	"1882"	"1883"	"1884"	"1885"	"1886"	"1887"	"1888"	"1889"	"1890"	"1891"	"1892"	"1893"	"1894"	"1895"	"1896"	"1897"	"1898"	"1899"	"1900"	"1901"	"1902"	"1903"	"1904"	"1905"	"1906"	"1907"	"1908"	"1909"	"1910"	"1911"	"1912"	"1913"	"1914"	"1915"	"1916"	"1917"	"1918"	"1919"	"1920"	"1921"	"1922"	"1923"	"1924"	"1925"	"1926"	"1927"	"1928"	"1929"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"
"Greece"	300																																																																																																																														37.6	37.82	38.04	38.25	38.47	38.68	38.88	39.09	39.29	39.49	39.69	39.89	40.09	40.29	40.49	40.69	40.88	41.08	41.28	41.49	41.69	41.89	42.1	42.31	42.52	42.73	42.95	43.17	43.39	43.62	43.85	44.09	44.33	44.58	44.83	45.09	45.35	45.62	45.89	46.17	46.46	46.76	47.07	47.4	47.75	48.11	48.5	48.9	49.32	49.75	50.18	50.59	51	51.4	51.82	52.25	52.72	53.22	53.77	54.38	55.06	55.81	56.6	57.39	58.22	59.09	60.04	61.08	62.23	63.52	64.97
"Guatemala"	320																																																																																																																															30.52	30.52	30.52	30.52	30.52	30.53	30.53	30.53	30.53	30.54	30.54	30.54	30.55	30.55	30.56	30.57	30.57	30.58	30.59	30.6	30.61	30.61	30.62	30.63	30.64	30.65	30.66	30.66	30.69	30.72	30.75	30.77	30.8	30.83	30.86	30.89	30.91	30.94	30.97	31	31.03	31.05	31.13	31.2	31.27	31.35	31.42	31.49	31.57	31.64	31.71	31.87	32.03	32.19	32.36	32.52	32.68	32.84	33.01	33.18	33.34	33.68	34.02	34.36	34.71	35.07	35.68	36.19	37.03	37.26
"Guyana"	328																																																																																																																																																														30.61	30.91	31.19	31.46	31.72	31.99	32.28	32.6	32.96	33.37	33.85	34.41	35.04	35.75	36.5	37.26	38.03	38.78	39.5	40.17	40.96	42.03	43.3	44.7	46.19	47.69	49.13	50.47	51.62	52.53	53.12	53.36	53.15	52.44	51.17	49.28	42.51	39.21	53.65
"Honduras"	340																																																																																																																																																																																	38.04	38.59	39.16	39.62	40.11	40.59	40.72	40.85	41.07	41.29	41.51	41.74	41.96	42.2	42.45	42.68	43.07	43.54	43.97	44.39
"Hungary"	348																																																																																																																																																				38.16	38.39	38.63	38.86	39.09	39.32	39.56	39.79	40.02	40.26	40.49	40.71	40.91	41.09	41.28	41.48	41.7	41.95	42.25	42.6	43.13	43.91	44.8	45.76	46.76	47.78	48.77	49.72	50.58	51.34	51.81	52.29	52.64	52.94	53.23	53.57	54.04	54.67	55.55	56.71	58.22	60.88	64.7	68.57	71.41	72.09	68.44	63.52	61.22
"Iceland"	352																																																																																					34.38	30.76	32.78	42.06	41.1	28.35	45.05	43.84	19.19	35.5	44.82	40.33	38.39	32.87	43.28	52.31	47.25	41.25	46.65	41.1	36.7	31.87	21.54	29.36	29.54	39.22	38.87	37.3	28.95	38.92	38.8	30.21	42.66	38.23	31.52	38.6	41.89	40.38	43.17	46.28	44.55	44.7	44.79	37.4	26.54	31.99	45.37	48.91	47.31	46.83	51	54.36	39.06	45.99	52.25	57.13	49.24	54.37	55.89	51.58	47.91	53.45	49.56	56.35	52.4	49.78	54.97	52.89	59.11	52.75	48.83	53.04	54.59	58.08	58.56	61.23	55.51	56.4	58.5	59.66	52.72	60.38	56.43	58.01	59.82	60.73	57.74	59.64	62.89	60.66	62.2	61.15	62.47	62.03	63.96	65.71	64.67	61.6	66.36	65.56	68.23	68.01	68.74	67.06	66.71	66.65	68.95	69.25	71.7	71.28	70.65	73.21
"India"	356																																																																																																																											28.34	28.34	28.34	28.34	28.34	28.34	28.33	28.33	28.32	28.31	28.3	28.24	28.13	27.98	27.79	27.57	27.35	27.12	26.89	26.71	26.55	26.42	26.29	26.15	26.03	25.92	25.83	25.74	25.68	25.63	25.61	25.6	25.6	25.6	25.61	25.62	25.64	25.67	25.7	25.73	25.78	25.9	26.13	26.47	26.88	27.36	27.86	28.38	28.87	29.35	29.77	30.15	30.51	30.87	31.22	31.57	31.93	32.29	32.66	33.03	33.42	33.81	34.17	34.53	34.89	35.27	35.67	36.1	36.59	37.12	37.7	38.38	39.13	39.94
"Ireland"	372																																																																																																																																																														54.1	54.36	54.62	54.89	55.16	55.42	55.69	55.96	56.23	56.49	56.75	57	57.25	57.48	57.71	57.93	58.13	58.31	58.47	58.61	58.76	58.91	59.06	59.22	59.41	59.62	59.88	60.18	60.49	60.79	61.02	61.16	61.26	61.43	61.79	62.43	64.48	66.61	66.47
"Israel"	376																																																																																																																																																																																																				65.49
"Italy"	380																																																																																																																							30.26	31.72	32.02	31.66	34	34.62	34.59	34.18	33.2	34.49	34.76	35.24	36.68	36.8	35.11	36.43	37.07	39.13	38.62	38.56	39.12	40.02	40.1	39.95	41.04	42.79	42.6	43.83	41.98	43.89	43.3	43.47	44.62	44.25	45.43	45.31	43.51	45.38	47.14	45.09	48.74	48.89	50.34	47.09	46.7	44.68	28.34	44.88	46.36	49.95	50.61	52.09	52.3	52.23	51.81	53.11	53.58	53.3	56.27	55.86	56.33	57.45	58.12	57.51	58.17	57.31	57.54	59.02	59.03	58.31	57.63	56.27	57.34	58.63	60.53	62.74	64.91	65.62
"Jamaica"	388																																																																																																																																																														41.71	41.31	40.83	40.29	39.74	39.22	38.76	38.4	38.18	38.14	38.31	38.66	39.13	39.71	40.39	41.16	42.01	42.93	43.91	44.93	46	47.1	48.21	49.34	50.46	51.58	52.68	53.74	54.77	55.75	56.67	58.1	59.9	60.93	60.07	54.88	54.53	56.26	57.95
"Japan"	392																																																																																																																																														44.31	44.41	44.52	44.63	44.73	44.81	44.87	44.9	44.93	44.94	44.95	44.94	44.92	44.89	44.85	44.79	44.73	44.62	44.44	44.22	43.97	43.71	43.45	43.23	43.05	42.94	42.92	43	43.2	43.63	44.3	45.09	45.88	46.54	47.12	47.71	48.28	48.8	49.22	49.51	49.63	49.64	50.01	50.68	51.06	50.52	47.43	42.14	37.11	34.75	37.5	52.33	53.69	57.98	59.46
"Lithuania"	440																																																																																																																																																																													58.08	58.7	59.26	59.77	60.24	60.67	61.06	61.43	61.78	62.11	62.43	62.74	63.06	63.38	63.71	64.06	64.43	64.82	65.26	65.72	66.24	66.79	67.4	68.08
"Luxembourg"	442																																																																																																																																																				49.1	49.96	48.72	45.88	48.07	49.23	51.25	48.37	50.29	51.31	47.21	51.91	52.72	53.56	52.9	51.69	50.35	43.08	45.66	55.97	58.17	56.79	57.67	58.5	57.5	55.37	57.69	57.54	54.74	59.19	60.29	58.4	59.85	62.06	61.35	63.48	62.74	61.37	62.54	64.34	62.66	61.33	62.13	59.21	58.02	63.31	66.11	64.4	65.91
"Mauritius"	480																																																																																																																																																																																																44.7	47.08	49.16	51.07	52.99
"Mexico"	484																																																																																																																																														28.86	28.87	28.89	28.9	28.92	28.94	28.95	28.98	29	29.03	29.05	29.08	29.12	29.14	29.18	29.21	29.26	29.31	29.35	29.4	29.45	29.51	29.58	29.66	29.72	29.79	29.86	29.98	30.09	30.2	30.33	30.65	30.98	31.31	31.65	32	32.3	32.6	32.89	33.21	33.51	34	34.49	35	35.51	36.03	36.71	37.41	38.12	38.85	39.6	41.07	42.53	43.43	44
"Netherlands"	528																																																																																																	40.8	40.93	39.82	39.78	39.58	35.4	39.3	35.94	35.87	31.92	38.06	37.31	38.76	39.31	38.57	37.39	34.82	39.41	38.7	41.45	38.55	33.96	38.18	40.55	42.54	39.49	41.75	42.73	42.36	43.17	41.87	44.2	44.37	43.66	42.59	44.47	43.58	45.84	45.68	45.66	45.76	45.68	45.88	47.26	48.44	48.26	49.9	50.64	50.61	50.77	49.9	50.37	51.75	53.09	52.19	53.5	53.85	54.59	54	56.14	56.25	54.31	57.62	58.44	58.31	58.2	57.17	55.9	48.65	55.63	58.92	60.55	60.85	62.77	63.54	63.92	63.69	63.51	64.5	62.89	65.4	65.01	66.07	66.69	67.34	67.25	67.41	67.78	68.26	68.55	67.29	66.9	66.95	66.2	63.6	61.19	68.87	69.87	72.39	71.58
"New Zealand"	554																																																																																																																																												58.08	58.48	58.91	59.33	59.68	59.92	59.94	59.83	59.84	60	60.53	61.87	63.76	65.71	67.21	67.76	66.61	64.43	62.9	62.95	63.48	63.74	64	64.25	64.49	64.72	64.96	65.19	65.43	65.66	65.88	66.11	66.33	66.57	66.83	67.12	67.4	67.66	67.88	68.03	68.14	68.23	68.32	68.45	68.62	68.83	69.05	69.29	69.53	69.78	70.02	70.24	70.44	70.61	70.74	70.83	70.76
"Nicaragua"	558																																																																																																																																																																																									36.74	35.7	35.01	35.03	35.05	35.06	35.09	35.11	36.88	36.46	36.36	37.04
